Distance, BF Value, Disparity
30, 62660.7, 2088.69
40, 62588.4, 1564.71
50, 62010.4, 1240.21
60, 62465.2, 1041.09
70, 62745.6, 896.365
80, 62724.4, 784.055
90, 63344, 703.823
100, 63228, 632.28
110, 63458.2, 576.893
120, 61653.6, 513.78
130, 62247.9, 478.83
140, 60428.9, 431.635
150, 62307.8, 415.385
,62451
Known Distances:
Actual Distance, Avg Disparity, Estimated Distance, Percentage Error(Abs)
30,2088.69, 29.08, 3.06667
40,1564.71, 39.115, 2.2125
50,1240.21, 50, 0
60,1041.09, 59.3825, 1.02917
70,896.365, 69, 1.42857
80,784.055, 79, 1.25
90,703.823, 88, 2.22222
100,632.28, 98.2375, 1.7625
110,576.893, 107.982, 1.83409
120,513.78, 121, 0.833333
130,478.83, 130.055, 0.0423021
140,431.635, 144.053, 2.89465
150,415.385, 149.985, 0.00999959

Unknown Distances:
ImageNo, Avg Disparity, Estimated Distance
0, 594.42, 104.665
1, 1056.3, 58.9775
2, 543.667, 114.275
3, 405.237, 153.51
4, 1259.68, 49.0025
5, 462.527, 134.4
6, 2166.57, 28
7, 751.352, 82.8875
